time,Pair 1 Leg 1 Size,Pair 1 Leg 2 Size,Pair 1 PnL,Pair 1 Cash,Pair 1 Portfolio,Pair 2 Leg 1 Size,Pair 2 Leg 2 Size,Pair 2 PnL,Pair 2 Cash,Pair 2 Portfolio,Pair 3 Leg 1 Size,Pair 3 Leg 2 Size,Pair 3 PnL,Pair 3 Cash,Pair 3 Portfolio,Pair 4 Leg 1 Size,Pair 4 Leg 2 Size,Pair 4 PnL,Pair 4 Cash,Pair 4 Portfolio,Pair 5 Leg 1 Size,Pair 5 Leg 2 Size,Pair 5 PnL,Pair 5 Cash,Pair 5 Portfolio
2022-03-24 15:04:00,0.0,0,0.0,200218.03674847586,200218.03674847586,0.0,0,-0.0,199951.79294709614,199951.79294709614,0.0,0,0.0,200146.76780496672,200146.76780496672,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,-0.0,199997.1616632645,199997.1616632645
2022-03-24 15:05:00,0.0,0,0.0,200218.03674847586,200218.03674847586,0.0,0,-0.0,199951.79294709614,199951.79294709614,0.0,0,0.0,200146.76780496672,200146.76780496672,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,-0.0,199997.1616632645,199997.1616632645
2022-03-24 15:06:00,0.0,0,0.0,200218.03674847586,200218.03674847586,0.0,0,-0.0,199951.79294709614,199951.79294709614,0.0,0,0.0,200146.76780496672,200146.76780496672,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,-0.0,199997.1616632645,199997.1616632645
2022-03-24 15:07:00,0.0,0,0.0,200218.03674847586,200218.03674847586,0.0,0,-0.0,199951.79294709614,199951.79294709614,0.0,0,-0.0,200146.76780496672,200146.76780496672,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,-0.0,199997.1616632645,199997.1616632645
2022-03-24 15:08:00,0.0,0,0.0,200218.03674847586,200218.03674847586,0.0,0,-0.0,199951.79294709614,199951.79294709614,0.0,0,-0.0,200146.76780496672,200146.76780496672,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,-0.0,199997.1616632645,199997.1616632645
2022-03-24 15:09:00,0.0,0,0.0,200218.03674847586,200218.03674847586,0.0,0,-0.0,199951.79294709614,199951.79294709614,0.0,0,-0.0,200146.76780496672,200146.76780496672,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,-0.0,199997.1616632645,199997.1616632645
2022-03-24 15:10:00,0.0,0,0.0,200218.03674847586,200218.03674847586,0.0,0,-0.0,199951.79294709614,199951.79294709614,0.0,0,-0.0,200146.76780496672,200146.76780496672,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,-0.0,199997.1616632645,199997.1616632645
2022-03-24 15:11:00,0.0,0,0.0,200218.03674847586,200218.03674847586,0.0,0,-0.0,199951.79294709614,199951.79294709614,0.0,0,-0.0,200146.76780496672,200146.76780496672,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,-0.0,199997.1616632645,199997.1616632645
2022-03-24 15:12:00,0.0,0,0.0,200218.03674847586,200218.03674847586,0.0,0,-0.0,199951.79294709614,199951.79294709614,0.0,0,-0.0,200146.76780496672,200146.76780496672,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,-0.0,199997.1616632645,199997.1616632645
2022-03-24 15:13:00,0.0,0,0.0,200218.03674847586,200218.03674847586,0.0,0,-0.0,199951.79294709614,199951.79294709614,0.0,0,-0.0,200146.76780496672,200146.76780496672,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,-0.0,199997.1616632645,199997.1616632645
2022-03-24 15:14:00,0.0,0,0.0,200218.03674847586,200218.03674847586,0.0,0,-0.0,199951.79294709614,199951.79294709614,0.0,0,-0.0,200146.76780496672,200146.76780496672,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,-0.0,199997.1616632645,199997.1616632645
2022-03-24 15:15:00,0.0,0,0.0,200218.03674847586,200218.03674847586,0.0,0,-0.0,199951.79294709614,199951.79294709614,0.0,0,-0.0,200146.76780496672,200146.76780496672,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,-0.0,199997.1616632645,199997.1616632645
2022-03-24 15:16:00,0.0,0,0.0,200218.03674847586,200218.03674847586,0.0,0,-0.0,199951.79294709614,199951.79294709614,0.0,0,-0.0,200146.76780496672,200146.76780496672,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,-0.0,199997.1616632645,199997.1616632645
2022-03-24 15:17:00,0.0,0,0.0,200218.03674847586,200218.03674847586,0.0,0,-0.0,199951.79294709614,199951.79294709614,0.0,0,-0.0,200146.76780496672,200146.76780496672,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,-0.0,199997.1616632645,199997.1616632645
2022-03-24 15:18:00,0.0,0,0.0,200218.03674847586,200218.03674847586,0.0,0,-0.0,199951.79294709614,199951.79294709614,0.0,0,-0.0,200146.76780496672,200146.76780496672,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,-0.0,199997.1616632645,199997.1616632645
2022-03-24 15:19:00,0.0,0,0.0,200218.03674847586,200218.03674847586,0.0,0,-0.0,199951.79294709614,199951.79294709614,0.0,0,-0.0,200146.76780496672,200146.76780496672,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,-0.0,199997.1616632645,199997.1616632645
2022-03-24 15:20:00,0.0,0,0.0,200218.03674847586,200218.03674847586,0.0,0,-0.0,199951.79294709614,199951.79294709614,0.0,0,-0.0,200146.76780496672,200146.76780496672,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,-0.0,199997.1616632645,199997.1616632645
2022-03-24 15:21:00,0.0,0,0.0,200218.03674847586,200218.03674847586,0.0,0,-0.0,199951.79294709614,199951.79294709614,0.0,0,-0.0,200146.76780496672,200146.76780496672,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,-0.0,199997.1616632645,199997.1616632645
2022-03-24 15:22:00,0.0,0,0.0,200218.03674847586,200218.03674847586,0.0,0,-0.0,199951.79294709614,199951.79294709614,0.0,0,-0.0,200146.76780496672,200146.76780496672,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,-0.0,199997.1616632645,199997.1616632645
2022-03-24 15:23:00,0.0,0,0.0,200218.03674847586,200218.03674847586,0.0,0,-0.0,199951.79294709614,199951.79294709614,0.0,0,-0.0,200146.76780496672,200146.76780496672,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,-0.0,199997.1616632645,199997.1616632645
2022-03-24 15:24:00,0.0,0,0.0,200218.03674847586,200218.03674847586,0.0,0,-0.0,199951.79294709614,199951.79294709614,0.0,0,-0.0,200146.76780496672,200146.76780496672,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,-0.0,199997.1616632645,199997.1616632645
2022-03-24 15:25:00,0.0,0,0.0,200218.03674847586,200218.03674847586,0.0,0,-0.0,199951.79294709614,199951.79294709614,0.0,0,-0.0,200146.76780496672,200146.76780496672,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,-0.0,199997.1616632645,199997.1616632645
2022-03-24 15:26:00,0.0,0,0.0,200218.03674847586,200218.03674847586,0.0,0,-0.0,199951.79294709614,199951.79294709614,0.0,0,-0.0,200146.76780496672,200146.76780496672,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,-0.0,199997.1616632645,199997.1616632645
2022-03-24 15:27:00,-64.0,127,0.0,190009.77674847585,200220.58674847585,0.0,0,-0.0,199951.79294709614,199951.79294709614,0.0,0,-0.0,200146.76780496672,200146.76780496672,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,-0.0,199997.1616632645,199997.1616632645
2022-03-24 15:28:00,64.0,-127,4.470000000001377,190053.1535653338,200208.91986533382,0.0,0,-0.0,199951.79294709614,199951.79294709614,0.0,0,-0.0,200146.76780496672,200146.76780496672,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,-0.0,199997.1616632645,199997.1616632645
